id,priority,phase,area,title,description,acceptance_criteria,test_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
QF1-01-01,P1,1. Quality Report Models and Storage,backend/models,Add quality and fix loop models,"Add QualityReport, QualityIssue, QualitySummary, FixPlan, FixAction, and FixLoopRecord models with statuses pass/fixed/warning/fail/unsupported and fix loop states.","Models serialize issue status, profile rule refs, locations, recommendations, summary counts, fix actions, confirmation flags, and lineage ids.",pytest,quality-reporting: Structured quality report; agent-fix-planning: Structured fix plan; quality-fix-loop: Fix loop lineage,"Existing FileRecord, JobRecord, ProfileExtractionRecord, and FormatProfile models remain compatible.",已完成,已完成,已完成,已提交,codex,backend/app/models.py; backend/tests/test_quality_reports.py,"StageC:TDD red import failure confirmed; validation: cd backend && uv run pytest tests/test_quality_reports.py -q -> 4 passed; cd backend && uv run pytest -q -> 74 passed, 1 warning."
QF1-01-02,P1,1. Quality Report Models and Storage,backend/repository,Persist quality reports and fix loops,"Extend JsonMetadataRepository with add/get/list/update helpers for quality_reports and quality_fix_loops, defaulting legacy metadata collections to empty.",Quality reports and fix loop records persist across reloads; legacy metadata without new keys still loads.,pytest,quality-reporting: Structured quality report; quality-fix-loop: Fix loop lineage,Existing repository tests for files/jobs/profiles/extractions continue passing.,已完成,已完成,已完成,已提交,codex,backend/app/storage/repository.py; backend/tests/test_quality_reports.py,"StageC:TDD red repository method AttributeError confirmed; validation: cd backend && uv run pytest tests/test_quality_reports.py -q -> 6 passed; cd backend && uv run pytest -q -> 76 passed, 1 warning."
QF1-01-03,P1,1. Quality Report Models and Storage,backend/tests,Test report grouping and lineage persistence,"Add tests for quality summary grouping counts, unsupported visibility, failed issue serialization, and fix loop original/new report lineage.",Tests cover pass/fixed/warning/fail/unsupported counts and preserve original report references in fix loop records.,pytest,quality-reporting: Quality status classification; quality-fix-loop: Fix loop lineage,Existing extraction/report-free metadata remains valid.,已完成,已完成,已完成,已提交,codex,backend/tests/test_quality_reports.py,"StageC:TDD red missing issues_by_status confirmed; validation: cd backend && uv run pytest tests/test_quality_reports.py -q -> 7 passed; cd backend && uv run pytest -q -> 77 passed, 1 warning."
QF2-02-01,P1,2. DOCX and PDF Quality Checks,backend/quality-docx,Implement DOCX quality inspection,"Implement DOCX quality report service checks for profile margins, body style, headings, table borders, captions, raw LaTeX residue, and page-number unsupported status.","DOCX checks produce pass/warning/fail/unsupported issues with rule refs, locations, and suggested actions.",pytest,quality-reporting: DOCX quality checks,Existing document formatter/parser tests continue passing.,已完成,已完成,已完成,已提交,codex,backend/app/quality/; backend/tests/test_quality_reports.py; backend/tests/document_fixtures.py,"StageC:TDD red missing app.quality confirmed; validation: cd backend && uv run pytest tests/test_quality_reports.py -q -> 9 passed; cd backend && uv run pytest -q -> 79 passed, 1 warning."
QF2-02-02,P1,2. DOCX and PDF Quality Checks,backend/quality-pdf,Implement PDF quality inspection,"Implement PDF quality checks for file openability, page count > 0, text extractability, and blank-page warning/unsupported diagnostics.",Readable PDF with text passes basic checks; unreadable/missing/empty-text PDF creates fail or unsupported issues.,pytest,quality-reporting: PDF quality checks,DOCX-only reports remain valid when no PDF output exists.,未开始,未开始,未开始,未提交,codex,backend/app/quality/; backend/tests/test_quality_reports.py,StageC:TDD-required
QF2-02-03,P1,2. DOCX and PDF Quality Checks,backend/tests,Test quality report generation statuses,"Add tests for pass, warning, fail, and unsupported report generation from crafted DOCX/PDF-like fixtures.","Quality service tests cover supported pass checks, margin/style failures, raw LaTeX warning/fail, page-number unsupported, and PDF diagnostics.",pytest,quality-reporting all scenarios,Backend full suite remains green.,未开始,未开始,未开始,未提交,codex,backend/tests/test_quality_reports.py,StageC:TDD-required
QF3-03-01,P1,3. Agent Fix Planning,backend/fix-planning,Implement deterministic explanations and whitelisted fix plans,"Implement fix planning service that explains warning/fail/unsupported issues, marks manual-review items, and validates whitelisted actions only.",Known supported issues get deterministic explanations and fix actions with requires_user_confirmation=true; unsupported/semantic issues require manual review.,pytest,agent-fix-planning: Agent issue explanation; Structured fix plan; Deterministic fallback explanations,No live LLM/API key required.,未开始,未开始,未开始,未提交,codex,backend/app/quality/; backend/app/agents/; backend/tests/test_quality_reports.py,StageC:TDD-required
QF3-03-02,P1,3. Agent Fix Planning,backend/tests,Test fix-plan safety validation,"Add tests for supported actions, unsafe/unknown actions, semantic edits, missing issue targets, manual-review items, and missing LLM fallback.",Invalid or unsafe plans are rejected; deterministic fallback works without LLM configuration.,pytest,agent-fix-planning: Reject unsafe fix action; LLM unavailable fallback,Existing Agent extraction tests remain green.,未开始,未开始,未开始,未提交,codex,backend/tests/test_quality_reports.py,StageC:TDD-required;secret-scan
QF4-04-01,P1,4. Quality API,backend/api,Add quality report creation and retrieval APIs,Add POST /api/quality-reports and GET /api/quality-reports/{report_id} for formatted output ids/profile refs.,API creates/retrieves reports with summary counts and grouped issues; missing files/profiles return readable errors.,pytest,quality-reporting: Structured quality report,Existing file/job/profile/extraction APIs remain working.,未开始,未开始,未开始,未提交,codex,backend/app/api/quality_reports.py; backend/app/main.py; backend/tests/test_quality_reports_api.py,StageC:TDD-required
QF4-04-02,P1,4. Quality API,backend/api,Add fix-plan and fix-loop APIs,Add API endpoints to create fix plans from reports and confirm fix loops with selected actions.,Unconfirmed plans do not create fix jobs; confirmed valid plans create lineage records with original report id and selected actions.,pytest,quality-fix-loop: User-confirmed fix execution; agent-fix-planning: Structured fix plan,Existing report retrieval remains stable.,未开始,未开始,未开始,未提交,codex,backend/app/api/quality_reports.py; backend/tests/test_quality_reports_api.py,StageC:TDD-required
QF4-04-03,P1,4. Quality API,backend/tests,Add quality API tests,"Add API tests for report creation/retrieval, grouped counts, fix-plan validation, missing report/file/profile errors, and confirmation gating.",API tests cover quality report and fix loop endpoint scenarios.,pytest,quality-reporting; agent-fix-planning; quality-fix-loop API scenarios,Backend full suite remains green.,未开始,未开始,未开始,未提交,codex,backend/tests/test_quality_reports_api.py,StageC:TDD-required
QF5-05-01,P1,5. Frontend Quality Review,frontend/api,Add frontend quality API types,"Extend frontend API client with quality report, issue, fix plan, fix loop types and create/get methods.","npm build passes and frontend types cover summary, grouped issues, explanations, actions, and lineage ids.",npm build,quality-fix-loop: Frontend report and fix-loop visibility,Existing API client types remain compatible.,未开始,未开始,未开始,未提交,codex,frontend/src/api/client.ts,StageC:build-required
QF5-05-02,P1,5. Frontend Quality Review,frontend/ui,Add grouped quality report panel,"Add frontend panel that displays grouped pass/fixed/warning/fail/unsupported counts, issue details, and remaining issue summary without claiming all compliant when unresolved issues exist.",Quality panel shows grouped report and remaining warning/fail/unsupported summary.,npm build,quality-reporting: Quality report does not imply all compliant; quality-fix-loop frontend scenarios,Existing upload/profile/extraction/job panels remain usable.,未开始,未开始,未开始,未提交,codex,frontend/src/App.tsx; frontend/src/styles.css,StageC:build-required
QF5-05-03,P1,5. Frontend Quality Review,frontend/ui,Add fix-plan review and confirmation controls,"Add frontend controls to request/display fix plans, show explanations/actions/manual review, and confirm selected valid actions.",Fix controls require user action before confirmation and display lineage state after creation.,npm build,agent-fix-planning frontend; quality-fix-loop confirmation,No automatic fix execution is implied by viewing a report.,未开始,未开始,未开始,未提交,codex,frontend/src/App.tsx; frontend/src/styles.css,StageC:build-required
QF6-06-01,P2,6. Documentation and Verification,docs,Update quality and fix-loop documentation,"Update README/backend/frontend docs for quality report scope, Agent fix safety, unsupported handling, no all-compliant misreporting, and verification commands.","Docs describe report statuses, DOCX/PDF checks, whitelisted fix actions, user confirmation, and limitations.",manual-doc-review,All add-quality-fix-loop capabilities,Existing docx engine and Agent extraction docs remain accurate.,未开始,未开始,未开始,未提交,codex,README.md; backend/README.md; frontend/README.md,StageC:manual-doc-review
QF6-06-02,P1,6. Documentation and Verification,verification,Run quality fix loop final verification,"Run OpenSpec strict validation, backend tests, frontend build, quality smoke tests, and hardcoded secret scan.",openspec validate passes; backend tests pass; frontend build passes; quality smoke confirms report statuses; secret scan has no hardcoded keys.,openspec+pytest+npm build+rg,All add-quality-fix-loop specs,Prior 003/004 behavior remains green.,未开始,未开始,未开始,未提交,codex,openspec/changes/add-quality-fix-loop/; backend/tests/; frontend/src/; issues/2026-06-08_02-18-00-add-quality-fix-loop.csv,StageC:final-verification
