id,priority,phase,area,title,description,acceptance_criteria,test_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
DE1-01-01,P0,1. Dependencies and Document Module Foundation,backend/document-foundation,Add document dependencies and module structure,"Add project-local document processing dependencies through uv and create backend document modules for conversion, parsing, formatting, and exporting.",Backend has document module entry points for converter/parser/formatter/exporter and dependencies are recorded in backend/pyproject.toml and uv.lock without using system Python or sudo pip.,cd backend && uv run pytest tests/test_document_engine.py -q,document-input: Legacy DOC conversion; DOCX structure parsing; docx-formatting: Profile page and body formatting,Existing backend tests still import app modules and pass.,已完成,已完成,已完成,已提交,codex,backend/pyproject.toml; backend/uv.lock; backend/app/documents/; backend/tests/test_document_engine.py,"verification:cd backend && uv run pytest tests/test_document_engine.py -q -> 1 passed; regression:cd backend && uv run pytest tests/test_foundation.py tests/test_profiles.py tests/test_profiles_api.py -q -> 20 passed, 1 known StarletteDeprecationWarning"
DE1-01-02,P0,1. Dependencies and Document Module Foundation,backend/tests,Add DOCX fixture and inspection test helpers,"Add reusable tests helpers for creating minimal DOCX fixtures and inspecting page margins, paragraph formatting, table borders, and text preservation.",Tests can generate a valid DOCX fixture with paragraphs/table/captions/references and inspect formatted DOCX properties without external services.,cd backend && uv run pytest tests/test_document_engine.py -q,document-input: Input content preservation; docx-formatting: Profile page and body formatting / Table basic formatting,Test helpers do not write outside pytest tmp_path.,已完成,已完成,已完成,已提交,codex,backend/tests/test_document_engine.py; backend/tests/helpers or inline fixtures,"verification:cd backend && uv run pytest tests/test_document_engine.py -q -> 2 passed; regression:cd backend && uv run pytest -q -> 22 passed, 1 known StarletteDeprecationWarning"
DE2-02-01,P0,2. Document Input Conversion and Parsing,backend/conversion,Implement LibreOffice DOC conversion adapter,Implement a converter that turns .doc into .docx via configured soffice and raises clear diagnostic errors when LibreOffice is unavailable or conversion fails.,"Given .doc input and missing soffice, converter raises a diagnostic error. Given configured soffice, converter invokes headless conversion and returns the converted .docx path.",cd backend && uv run pytest tests/test_document_engine.py -q,document-input: Legacy DOC conversion / Convert DOC before processing / Conversion failure is diagnostic,DOCX inputs bypass legacy conversion.,已完成,已完成,已完成,已提交,codex,backend/app/documents/converter.py; backend/app/core/config.py; backend/tests/test_document_engine.py,"verification:cd backend && uv run pytest tests/test_document_engine.py -q -> 4 passed; regression:cd backend && uv run pytest -q -> 24 passed, 1 known StarletteDeprecationWarning"
DE2-02-02,P0,2. Document Input Conversion and Parsing,backend/parser,Implement DOCX structure parser,"Implement parser returning paragraph count, table count, image/drawing count, heading candidates, paragraph styles, and text-preservation summary.",Valid DOCX returns expected structural summary. Corrupt or unreadable DOCX raises a diagnostic parser error.,cd backend && uv run pytest tests/test_document_engine.py -q,document-input: DOCX structure parsing / Parse DOCX summary / Invalid DOCX is rejected; Input content preservation,Parser does not mutate input DOCX bytes.,已完成,已完成,已完成,已提交,codex,backend/app/documents/parser.py; backend/tests/test_document_engine.py,"verification:cd backend && uv run pytest tests/test_document_engine.py -q -> 6 passed; regression:cd backend && uv run pytest -q -> 26 passed, 1 known StarletteDeprecationWarning"
DE2-02-03,P0,2. Document Input Conversion and Parsing,backend/tests,Add conversion and parser tests,"Cover DOCX parsing, corrupt DOCX failure, content preservation, and .doc conversion failure when LibreOffice is unavailable.","Tests fail before implementation and pass after converter/parser implementation, including failure branches.",cd backend && uv run pytest tests/test_document_engine.py -q,document-input: all requirements and scenarios,cd backend && uv run pytest -q remains green.,已完成,已完成,已完成,已提交,codex,backend/tests/test_document_engine.py; backend/app/documents/,"verification:cd backend && uv run pytest tests/test_document_engine.py -q -> 8 passed; regression:cd backend && uv run pytest -q -> 28 passed, 1 known StarletteDeprecationWarning"
DE3-03-01,P0,3. Profile-Based DOCX Formatting,backend/formatter,"Apply profile page, body, and heading formatting","Implement deterministic DOCX formatting for page settings, body paragraph defaults, line spacing, first-line indent, and heading styles from selected profile.","Formatted DOCX uses ECNU margins, body fonts, 1.5 line spacing, first-line indent, heading font/alignment, and preserves text.",cd backend && uv run pytest tests/test_document_formatting.py -q,docx-formatting: Profile page and body formatting / Heading and special paragraph formatting,Existing profile schema tests remain green.,已完成,已完成,已完成,已提交,codex,backend/app/documents/formatter.py; backend/tests/test_document_formatting.py; profiles/ecnu_thesis.yaml,"verification:cd backend && uv run pytest tests/test_document_formatting.py -q -> 1 passed; regression:cd backend && uv run pytest -q -> 29 passed, 1 known StarletteDeprecationWarning"
DE3-03-02,P1,3. Profile-Based DOCX Formatting,backend/formatter,"Apply captions, equations, references, and table borders","Implement formatting helpers for table/figure caption paragraphs, equation alignment, reference hanging indent, and basic three-line table borders.","Formatted DOCX keeps caption/formula/reference text, applies expected alignment/font defaults, and ordinary tables receive basic top/header-bottom/bottom borders.",cd backend && uv run pytest tests/test_document_formatting.py -q,docx-formatting: Heading and special paragraph formatting / Table basic formatting / Conservative unsupported handling,Body and heading formatting tests continue passing.,已完成,已完成,已完成,已提交,codex,backend/app/documents/formatter.py; backend/tests/test_document_formatting.py,"verification:cd backend && uv run pytest tests/test_document_formatting.py tests/test_document_engine.py -q -> 10 passed; regression:cd backend && uv run pytest -q -> 30 passed, 1 known StarletteDeprecationWarning"
DE3-03-03,P0,3. Profile-Based DOCX Formatting,backend/tests,Add DOCX formatting regression tests,"Add tests confirming margins, fonts, line spacing, first-line indent, heading style, table borders, and text preservation for ECNU profile formatting.",Formatting tests inspect the generated DOCX structure and fail if formatting is missing or text content changes.,cd backend && uv run pytest tests/test_document_formatting.py -q,docx-formatting: all requirements and scenarios,cd backend && uv run pytest -q remains green.,未开始,未开始,未开始,未提交,codex,backend/tests/test_document_formatting.py; backend/app/documents/formatter.py,StageC:TDD-required
DE4-04-01,P0,4. Output Registration and Worker Lifecycle,backend/storage,Register generated output files,Extend local file storage/repository flow to store generated DOCX/PDF bytes or files as FileRecord entries usable by existing file metadata API.,"Generated output files are stored under local storage, receive file ids, have correct MIME/filename/sha256/size metadata, and are retrievable through GET /api/files/{file_id}.",cd backend && uv run pytest tests/test_document_worker.py -q,document-output: Formatted output registration / Register formatted DOCX output / Retrieve output metadata,Existing upload FileRecord tests continue passing.,未开始,未开始,未开始,未提交,codex,backend/app/storage/local.py; backend/app/storage/repository.py; backend/tests/test_document_worker.py,StageC:TDD-required
DE4-04-02,P0,4. Output Registration and Worker Lifecycle,backend/service,Implement document formatting service,"Implement a service that resolves input file/profile version, converts DOC if needed, parses DOCX, formats DOCX, optionally exports PDF, and returns output file records.",Service produces formatted DOCX for a valid DOCX input and profile. PDF export failure is diagnostic. Missing profile/input raises clear errors.,cd backend && uv run pytest tests/test_document_worker.py -q,document-output: PDF export / Formatting job lifecycle; document-input: Legacy DOC conversion,Document parser/formatter unit tests remain green.,未开始,未开始,未开始,未提交,codex,backend/app/documents/service.py; backend/app/documents/exporter.py; backend/tests/test_document_worker.py,StageC:TDD-required
DE4-04-03,P0,4. Output Registration and Worker Lifecycle,backend/worker,Run document engine from worker lifecycle,"Update process_placeholder_job/process_next_queued_job so profile-referenced format jobs run the document engine, update progress/status, attach outputs, and report failures.",Profile-referenced jobs transition queued->running->completed with output ids on success and failed with readable error on conversion/parsing/profile/output errors. Unprofiled jobs remain backwards-compatible placeholders.,cd backend && uv run pytest tests/test_document_worker.py tests/test_foundation.py -q,document-output: Formatting job lifecycle / Formatting job completes / Formatting job fails,Existing unprofiled placeholder worker tests continue passing.,未开始,未开始,未开始,未提交,codex,backend/app/jobs/worker.py; backend/tests/test_document_worker.py; backend/tests/test_foundation.py,StageC:TDD-required
DE4-04-04,P0,4. Output Registration and Worker Lifecycle,backend/tests,Add worker and API output tests,"Add tests for successful formatted DOCX output, output metadata retrieval, missing profile/input failure, and PDF export failure diagnostics.",Worker/API tests cover successful outputs and failure branches and pass with the implemented service.,cd backend && uv run pytest tests/test_document_worker.py -q,document-output: all requirements and scenarios,cd backend && uv run pytest -q remains green.,未开始,未开始,未开始,未提交,codex,backend/tests/test_document_worker.py; backend/app/jobs/worker.py; backend/app/documents/service.py,StageC:TDD-required
DE5-05-01,P1,5. Frontend Output Visibility,frontend/api-ui,Load output file metadata in frontend task panel,Extend frontend task status handling to fetch metadata for every job output_file_id and show loading/error states without blocking upload/profile panels.,"Completed jobs with output ids display output filename, size, and file id. Missing metadata is shown as a non-blocking error.",cd frontend && npm run build,document-output: Frontend output visibility / Display outputs / Display errors,Profile selection and job creation UI still builds and works.,未开始,未开始,未开始,未提交,codex,frontend/src/App.tsx; frontend/src/api/client.ts,StageC:build-required
DE5-05-02,P1,5. Frontend Output Visibility,frontend/ui,Display formatting outputs and errors,"Add task panel UI for DOCX/PDF outputs, selected profile references, and formatting errors while preserving uploaded file context.",Frontend shows output ids/metadata on completed jobs and displays failed job error_message without hiding input file/profile context.,cd frontend && npm run build,document-output: Frontend output visibility / Display outputs / Display errors,"Existing upload, profile list, editor, YAML, and job controls still build.",未开始,未开始,未开始,未提交,codex,frontend/src/App.tsx; frontend/src/styles.css,StageC:build-required
DE6-06-01,P2,6. Documentation and Verification,docs,Update document engine documentation,"Update README/backend/frontend docs for DOC/DOCX conversion, formatting engine scope, PDF export, SOFFICE_BIN, generated outputs, and verification commands.","Docs explain environment requirements, no-formatting limitations that are now removed, remaining non-goals, and how to verify DOCX/PDF outputs.",manual: rg README docs for document engine terms; cd backend && uv run pytest -q; cd frontend && npm run build,proposal/design documentation impact,Existing startup/profile docs remain accurate.,未开始,未开始,未开始,未提交,codex,README.md; backend/README.md; frontend/README.md; .env.example,StageC:manual-doc-review
DE6-06-02,P0,6. Documentation and Verification,verification,Run document engine verification,"Run OpenSpec strict validation, backend tests, frontend build, and document tool smoke checks for generated DOCX/PDF outputs where local tools are available.",openspec validate add-docx-formatting-engine --strict --no-interactive passes. Backend tests pass. Frontend build passes. Generated DOCX is inspectable with codex-docx-inspect; PDF smoke is run when LibreOffice is available or marked validation_limited with manual steps.,openspec validate add-docx-formatting-engine --strict --no-interactive && cd backend && uv run pytest && cd ../frontend && npm run build,All add-docx-formatting-engine requirements and scenarios,Foundation and profile management tests/build remain green.,未开始,未开始,未开始,未提交,codex,openspec/changes/add-docx-formatting-engine/; backend/tests/; frontend/src/; issues/2026-06-08_00-22-35-add-docx-formatting-engine.csv,StageC:final-verification
