id,priority,phase,area,title,description,acceptance_criteria,test_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
ARE1-01-01,P1,1. Extraction Models and Storage,backend/models-storage,Add extraction result models,"Add backend models for profile extraction source metadata, evidence, uncertain items, profile drafts, job status, timestamps, and errors. Align status values with queued/running/completed/failed/needs_review semantics from specs.","Extraction records can represent document or natural-language source metadata, profile_draft, uncertain_items with field/message/suggestion, evidence, and readable errors.",pytest,agent-rule-extraction: Structured Agent extraction result; profile-draft-confirmation: Extraction result retrieval,"Existing FileRecord, JobRecord, and FormatProfile serialization remain compatible.",已完成,已完成,已完成,已提交,codex,backend/app/models.py; backend/app/profiles/models.py,verification:uv run pytest tests/test_profile_extractions.py -q -> 2 passed; uv run pytest -q -> 40 passed 1 warning; added extraction status/source/evidence/uncertain/profile record models
ARE1-01-02,P1,1. Extraction Models and Storage,backend/repository,Persist extraction jobs in JSON repository,Extend JsonMetadataRepository with create/update/get/list helpers for profile extraction jobs and default missing metadata collections to empty lists.,Extraction jobs persist across repository reloads; metadata files without extraction records still load.,pytest,rule-source-input: Extraction source traceability; profile-draft-confirmation: Extraction result retrieval,Existing file/job/profile repository tests continue passing.,已完成,已完成,已完成,已提交,codex,backend/app/storage/repository.py; backend/tests/,verification:uv run pytest tests/test_profile_extractions.py -q -> 4 passed; uv run pytest -q -> 42 passed 1 warning; repository persists profile_extractions and defaults legacy metadata to empty list
ARE1-01-03,P1,1. Extraction Models and Storage,backend/tests,Test extraction persistence and failed result serialization,"Add focused tests for extraction job creation, persistence, default empty collection behavior, failed status, and error serialization.","Tests cover created/updated timestamps, status changes, failed error messages, and reloading from disk.",pytest,profile-draft-confirmation: Retrieve failed extraction result,No regressions in existing metadata tests.,已完成,已完成,已完成,已提交,codex,backend/tests/test_profile_extractions.py; backend/app/storage/repository.py,verification:uv run pytest tests/test_profile_extractions.py -q -> 5 passed; uv run pytest -q -> 43 passed 1 warning; added completed draft reload and failed/update serialization coverage
ARE2-02-01,P1,2. Rule Source Processing,backend/source-validation,Validate extraction rule sources,"Implement validation for document-source extraction and natural-language-source extraction, rejecting empty requests, missing files, and unsupported file extensions with readable diagnostics.",Natural-language jobs do not require a file. Document jobs require existing .doc/.docx file ids. Empty source requests fail clearly.,pytest,rule-source-input: Rule document extraction source; Natural-language extraction source,Existing file upload validation remains unchanged.,已完成,已完成,已完成,已提交,codex,backend/app/api/; backend/app/storage/repository.py; backend/app/agents/,"verification:uv run pytest tests/test_profile_extractions.py -q -> 9 passed; uv run pytest -q -> 47 passed 1 warning; added source validation for natural_language, .doc/.docx file ids, empty source, missing file, unsupported file"
ARE2-02-02,P1,2. Rule Source Processing,backend/document-text,Extract rule document text,Add rule document text extraction for .docx and .doc sources. Reuse LibreOffice conversion for .doc and python-docx parsing for text extraction.,.docx source text is extracted. .doc source uses SOFFICE_BIN conversion. Conversion or parse failures surface readable errors.,pytest,rule-source-input: Convert DOC source before extraction; Reject unsupported rule source file,Existing document formatting conversion/parser tests continue passing.,已完成,已完成,已完成,已提交,codex,backend/app/documents/converter.py; backend/app/documents/parser.py; backend/app/agents/,verification:uv run pytest tests/test_profile_extractions.py -q -> 11 passed; uv run pytest -q -> 49 passed 1 warning; added DOCX text extraction and DOC conversion diagnostic wrapping for rule sources
ARE2-02-03,P1,2. Rule Source Processing,backend/tests,Test rule source processing,"Add tests for natural-language source creation, missing file rejection, unsupported file rejection, .doc conversion diagnostics, and .docx text extraction.",All source-processing scenarios from rule-source-input specs are covered by backend tests.,pytest,rule-source-input requirements and scenarios,"Existing upload, profile, and document tests still pass.",已完成,已完成,已完成,已提交,codex,backend/tests/test_profile_extractions.py; backend/tests/document_fixtures.py,"verification:uv run pytest tests/test_profile_extractions.py -q -> 12 passed; uv run pytest -q -> 50 passed 1 warning; source-processing tests cover natural language, missing/unsupported files, DOCX extraction, DOC conversion diagnostics, and conversion call path"
ARE3-03-01,P1,3. Agent Extraction Service,backend/agent-provider,Add bounded LLM provider interface,Introduce a narrow provider interface for rule extraction that reads LLM_API_KEY and LLM_MODEL from settings and supports deterministic fake providers in tests.,Missing LLM config produces a readable configuration error; tests can inject a fake provider without network calls.,pytest,agent-rule-extraction: LLM configuration and output safety,No hardcoded API keys or model names; health config behavior remains valid.,已完成,已完成,已完成,已提交,codex,backend/app/core/config.py; backend/app/agents/,verification:uv run pytest tests/test_profile_extractions.py -q -> 14 passed; uv run pytest -q -> 52 passed 1 warning; rg secret scan -> no matches; provider reads settings and fake provider can be injected
ARE3-03-02,P1,3. Agent Extraction Service,backend/agent-validation,Parse and validate Agent extraction output,"Implement strict parsing and validation for Agent output sections: profile_draft, uncertain_items, and evidence. Validate profile_draft using existing FormatProfile schema.","Valid output becomes reviewable; invalid JSON/YAML, missing sections, invalid enum values, unknown critical fields, and missing evidence produce diagnostic errors.",pytest,agent-rule-extraction: Structured Agent extraction result; Profile schema validation,Existing Profile schema validation behavior is unchanged.,已完成,已完成,已完成,已提交,codex,backend/app/profiles/models.py; backend/app/agents/,"verification:uv run pytest tests/test_profile_extractions.py -q -> 18 passed; uv run pytest -q -> 56 passed 1 warning; Agent output parser validates JSON/YAML, profile_draft schema, uncertain_items, and evidence"
ARE3-03-03,P1,3. Agent Extraction Service,backend/service,Orchestrate extraction jobs,"Implement extraction service lifecycle that validates source, calls provider, parses output, stores profile_draft/evidence/uncertain_items, and marks completed/failed/needs_review with readable diagnostics.",Completed jobs expose reviewable drafts. Failed jobs expose source/config/output/schema errors. No profile is automatically created.,pytest,agent-rule-extraction requirements; profile-draft-confirmation retrieval scenarios,Manual profile management and document formatting jobs remain usable.,已完成,已完成,已完成,已提交,codex,backend/app/agents/; backend/app/storage/repository.py,"verification:uv run pytest tests/test_profile_extractions.py -q -> 20 passed; uv run pytest -q -> 58 passed 1 warning; service creates queued extraction jobs, processes provider output, stores completed drafts, and records failures without creating profiles"
ARE3-03-04,P1,3. Agent Extraction Service,backend/tests,Add Agent schema and safety tests,"Add tests for valid output, invalid JSON/YAML, missing evidence, unknown fields, invalid enums, missing LLM configuration, and no automatic profile creation.",Agent output safety scenarios are covered without live LLM network calls.,pytest,agent-rule-extraction: Profile schema validation; LLM configuration and output safety,No tests require real API keys.,已完成,已完成,已完成,已提交,codex,backend/tests/test_profile_extractions.py; backend/app/agents/,"verification:uv run pytest tests/test_profile_extractions.py -q -> 23 passed; uv run pytest -q -> 61 passed 1 warning; schema tests cover valid JSON/YAML, invalid JSON, missing sections/evidence, unknown fields, invalid enums, missing LLM config, and no auto profile creation"
