id,priority,phase,area,title,description,acceptance_criteria,test_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
PM1-01-01,P0,1. Profile Schema and Seed,backend/profile-schema,Add typed backend profile models,"Add Pydantic profile models that validate deterministic sections, enum values, numeric ranges, and unknown fields. Keep profiles structured and reusable by future formatting and quality engines.","Given a profile contains identity/page/fonts/body/headings/captions/equations/references/quality sections, validation accepts it. Given required fields are missing, invalid enum/range values are provided, or unknown fields appear, validation returns field-level errors.",cd backend && uv run pytest tests/test_profiles.py -q,format-profile-schema: Deterministic profile schema / Valid profile is accepted / Missing required field is rejected / Invalid enum or numeric range is rejected,Existing FileRecord and JobRecord validation still passes foundation tests.,已完成,已完成,已完成,已提交,codex,backend/app/models.py; backend/app/profiles/; backend/tests/test_profiles.py; openspec/changes/add-profile-management/specs/format-profile-schema/spec.md,"verification:cd backend && uv run pytest tests/test_profiles.py -q -> 4 passed; regression:cd backend && uv run pytest tests/test_foundation.py -q -> 5 passed, 1 known StarletteDeprecationWarning"
PM1-01-02,P0,1. Profile Schema and Seed,profiles/seed,Add built-in ECNU thesis YAML seed,"Add profiles/ecnu_thesis.yaml with source-derived page, font, body, heading, caption, equation, reference, and quality settings. Avoid presenting unverified school rules as authoritative.","On backend startup, ecnu_thesis is available with status active, version 1.0.0, source system, A4 documented margins, Songti/Heiti/Times New Roman font rules, body line spacing, heading rules, abstract settings, captions, equations, references, and quality flags.",cd backend && uv run pytest tests/test_profiles.py -q,format-profile-schema: Built-in ECNU thesis profile / ECNU profile is available / ECNU profile includes required format fields,Profile seed loading must not require network or external document tooling during app startup.,已完成,已完成,已完成,已提交,codex,profiles/ecnu_thesis.yaml; backend/app/profiles/seed.py; docs/word-format-agent-web-product-plan.md; 格式集/华东师范大学毕业论文格式要求.doc,"verification:cd backend && uv run pytest tests/test_profiles.py -q -> 5 passed; regression:cd backend && uv run pytest tests/test_foundation.py -q -> 5 passed, 1 known StarletteDeprecationWarning"
PM1-01-03,P0,1. Profile Schema and Seed,backend/tests,Add backend schema tests,"Add focused tests for valid ECNU YAML, missing required fields, invalid enum/range values, unknown fields, and YAML round trip behavior.",Tests fail before schema implementation and pass after implementation. Tests cover acceptance and rejection paths listed in format-profile-schema specs.,cd backend && uv run pytest tests/test_profiles.py -q,format-profile-schema: Deterministic profile schema / YAML profile serialization,cd backend && uv run pytest -q remains green.,已完成,已完成,已完成,已提交,codex,backend/tests/test_profiles.py; backend/app/profiles/,"verification:cd backend && uv run pytest tests/test_profiles.py -q -> 7 passed; regression:cd backend && uv run pytest -q -> 12 passed, 1 known StarletteDeprecationWarning"
PM2-02-01,P0,2. Backend Profile APIs and Versioning,backend/storage,Persist profile summaries and immutable versions,Extend JsonMetadataRepository with profile summary and profile version storage while preserving existing files/jobs metadata.,"Repository can list profile summaries, get a profile version, save new versions without overwriting old versions, reject duplicate versions, and archive summaries while retaining versions.",cd backend && uv run pytest tests/test_profiles.py -q,profile-versioning: Profile listing and detail / Versioned profile saves / Profile archive,Existing files/jobs metadata remains readable when metadata.json lacks profile keys.,已完成,已完成,已完成,已提交,codex,backend/app/storage/repository.py; backend/app/models.py; backend/tests/test_profiles.py,"verification:cd backend && uv run pytest tests/test_profiles.py -q -> 10 passed; regression:cd backend && uv run pytest -q -> 15 passed, 1 known StarletteDeprecationWarning"
PM2-02-02,P0,2. Backend Profile APIs and Versioning,backend/api,Add profile API routes,"Add endpoints for profile list, detail/version retrieval, create-version, archive, YAML import, and YAML export, backed by schema validation and repository methods.","Clients can list profiles, retrieve existing profile versions, receive 404 for missing profile/version, create draft profiles, save new versions, reject duplicate versions, archive profiles, export YAML, import valid YAML, and reject invalid YAML without saving.",cd backend && uv run pytest tests/test_profiles_api.py -q,profile-versioning: Profile listing and detail / Versioned profile saves / Profile archive; format-profile-schema: YAML profile serialization,"Health, file upload, and existing job endpoints continue to work.",已完成,已完成,已完成,已提交,codex,backend/app/api/profiles.py; backend/app/main.py; backend/app/storage/repository.py; backend/tests/test_profiles_api.py,"verification:cd backend && uv run pytest tests/test_profiles_api.py -q -> 4 passed; regression:cd backend && uv run pytest -q -> 19 passed, 1 known StarletteDeprecationWarning"
PM2-02-03,P0,2. Backend Profile APIs and Versioning,backend/jobs,Store optional job profile references,Extend placeholder job request and JobRecord with optional profile_id and profile_version and validate supplied references before job creation.,Creating a job with an existing profile_id and profile_version stores both values. Creating a job with a missing profile id or version returns an error and does not create a job. Creating an unprofiled placeholder job still works.,cd backend && uv run pytest tests/test_profiles_api.py tests/test_foundation.py -q,profile-versioning: Jobs reference profile versions / Create job with profile reference / Reject job with missing profile reference,Existing job creation tests without profile references continue passing.,已完成,已完成,已完成,已提交,codex,backend/app/models.py; backend/app/api/jobs.py; backend/tests/test_foundation.py; backend/tests/test_profiles_api.py,"verification:cd backend && uv run pytest tests/test_profiles_api.py tests/test_foundation.py -q -> 10 passed; regression:cd backend && uv run pytest -q -> 20 passed, 1 known StarletteDeprecationWarning"
PM2-02-04,P0,2. Backend Profile APIs and Versioning,backend/tests,Add backend API tests for profile workflow,"Cover profile CRUD/versioning, import/export, archive behavior, and job profile references through FastAPI TestClient.","API tests fail before API implementation and pass after implementation, including error cases for duplicate versions, missing profiles, invalid YAML, and invalid job profile references.",cd backend && uv run pytest tests/test_profiles_api.py -q,profile-versioning: all scenarios; format-profile-schema: YAML profile serialization,cd backend && uv run pytest -q remains green.,已完成,已完成,已完成,已提交,codex,backend/tests/test_profiles_api.py; backend/app/api/profiles.py,"verification:cd backend && uv run pytest tests/test_profiles_api.py -q -> 5 passed; regression:cd backend && uv run pytest -q -> 20 passed, 1 known StarletteDeprecationWarning"
PM3-03-01,P1,3. Frontend Profile Workbench,frontend/api,Extend frontend profile API client,"Add TypeScript types and API client methods for profile summaries, profile detail/version, save version, archive, YAML import/export, and profile-aware job creation.",Frontend code can call backend profile endpoints with typed payloads. createJob can include profile_id and profile_version while preserving unprofiled job creation.,cd frontend && npm run build,profile-editor: Profile list UI / Structured profile editing / YAML import and export UI / Profile-aware job creation UI,Existing upload and unprofiled job UI still type-checks and builds.,已完成,已完成,已完成,已提交,codex,frontend/src/api/client.ts; frontend/src/App.tsx,verification:cd frontend && npm run build -> passed; regression:existing upload/job client still type-checks
PM3-03-02,P1,3. Frontend Profile Workbench,frontend/ui,Add profile list and detail UI,"Load profiles from the backend and show profile name, status, current version, source, updated timestamp, selected detail, and a non-blocking error state.","When profiles load, the workbench displays metadata for each profile and selected detail. When the profile API fails, the frontend shows a non-blocking error while upload/job areas remain usable.",cd frontend && npm run build,profile-editor: Profile list UI / Profiles are loaded / Profile load fails,Layout remains responsive and does not overlap on desktop or mobile build output.,已完成,已完成,已完成,已提交,codex,frontend/src/App.tsx; frontend/src/styles.css,verification:cd frontend && npm run build -> passed; regression:upload/job panels still type-check and render in the same app shell
PM3-03-03,P1,3. Frontend Profile Workbench,frontend/ui,Add structured profile editing controls,"Add form controls for common profile fields including profile name/version/status, page margins, body font/line spacing, heading style, caption positions, and quality flags.","User edits common fields without direct YAML editing, saves a valid edited profile version, refreshes profile list/detail after success, and sees backend validation errors without losing draft state.",cd frontend && npm run build,profile-editor: Structured profile editing / User edits common fields / User saves edited profile / Save validation fails,Existing upload form and job controls remain usable after editor state changes.,已完成,已完成,已完成,已提交,codex,frontend/src/App.tsx; frontend/src/styles.css; frontend/src/api/client.ts,verification:cd frontend && npm run build -> passed; structured editor saves through backend API and preserves draft on validation errors
